job Title,adresse company,time,Domaine,Fonction,Contrat,Entreprise,salaire,Niveau_etude
Reponsable IT,Tanger,25 Jan 2024 15:48,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes/Réseaux,Contrat : CDI,Entreprise : PLATFORM & DESIGN,Salaire : A discuter,Niveau d'études : Bac plus 2
Ingénieur développeur Symfony4 / PHP7 (H|F),Marrakech,25 Jan 2024 10:05,N/A,N/A,N/A,N/A,N/A,N/A
"Développeur Odoo, applications et WEB - CDI",Marrakech,23 Jan 2024 13:18,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Développement,Contrat : CDI,Entreprise : Wellhadar,Salaire : A discuter,Niveau d'études : Bac plus 2
Senior Sales Manager,Casablanca,22 Jan 2024 18:35,Domaine : Informatique / Multimédia / Internet,Fonction : Commercial professionnels (B2B),Contrat : CDI,Entreprise : PAYLOGIC,Salaire : Plus de 10 000 DH,Niveau d'études : Bac plus 5
Technicien support IT,Casablanca,22 Jan 2024 17:04,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes/Réseaux,Contrat : CDI,Entreprise : PAYLOGIC,Salaire : A discuter,Niveau d'études : Bac plus 2
Offre de stage rénuméré en marketing digital,Agadir,22 Jan 2024 16:31,Domaine : Informatique / Multimédia / Internet,Fonction : Commercial IT/Agence Com,Contrat : Stage,Entreprise : technopek,Salaire : A discuter,Niveau d'études : Bac plus 2
Italian-speaking Help Desk Analyst (RABAT),Rabat,22 Jan 2024 11:49,Domaine : Informatique / Multimédia / Internet,Fonction : SAV/Hotline/Téléconseiller,Contrat : CDI,Entreprise : VIATIS,Salaire : A discuter,Niveau d'études : Bac plus 2
Stage ADS Manager,Agadir,22 Jan 2024 10:06,Domaine : Informatique / Multimédia / Internet,Fonction : Commercial IT/Agence Com,Contrat : Stage,Entreprise : Technopek,Salaire : A discuter,Niveau d'études : Bac plus 2
Offre d’emploi : Consultant IT,Casablanca,22 Jan 2024 10:03,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes/Réseaux,Contrat : A discuter,Entreprise : nton.com ADVISORY,Salaire : A discuter,Niveau d'études : Bac plus 2
Technicien spécialisé en système d’information,Casablanca,20 Jan 2024 16:06,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes d'Information,Contrat : CDD,Entreprise : Anonyme,Salaire : A discuter,Niveau d'études : Bac plus 2
Developpeur IT,Bouskoura,19 Jan 2024 14:05,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Développement,Contrat : CDI,Entreprise : DVL,Salaire : A discuter,Niveau d'études : Bac plus 5
Stagiaire Community Manager,Agadir,19 Jan 2024 09:32,Domaine : Informatique / Multimédia / Internet,Fonction : Commercial IT/Agence Com,Contrat : Stage,Entreprise : Technopek,Salaire : A discuter,Niveau d'études : Bac plus 2
Technicien IT,Mohammedia,18 Jan 2024 12:09,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes d'Information,Contrat : CDI,Entreprise : Confidentiel,Salaire : A discuter,Niveau d'études : Bac plus 3
Technicien informatique,Casablanca,17 Jan 2024 17:31,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes/Réseaux,Contrat : CDI,Entreprise : IT Services,Salaire : 4 000 - 6 000 DH,Niveau d'études : Bac plus 5
Développeur PHP/MySQL,Casablanca,17 Jan 2024 12:33,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Développement,Contrat : CDI,Entreprise : ikuromi-it,Salaire : 6 000 - 8 000 DH,Niveau d'études : Bac plus 2
Chargé IT,Tetouan,16 Jan 2024 17:45,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes d'Information,Contrat : CDI,Entreprise : Confidentiel,Salaire : A discuter,Niveau d'études : Bac plus 3
TECHNICIEN IT CASABLANCA & RABAT,Casablanca,16 Jan 2024 12:26,Domaine : Informatique / Multimédia / Internet,Fonction : Informatique - Systèmes d'Information,Contrat : Interim,Entreprise : BEST PROFIL,Salaire : A discuter,Niveau d'études : Bac plus 2
